Unnamed: 0,Employee ID,Full_Name,StartDate,ExitDate,Domain,Supervisor,Emails,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance_Score,CurrentEmployee_Rating,Survey_Date,Engagement_Score,Satisfaction_Score,WorkLifeBalance_Score,Training_Date,Trainingprogram_Name,Training_type,Training_outcome,Location,Trainer,Trainingduration,Training_cost,status
10,3437,Myriam Givens,04-08-2023,22-05-2022,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,15-10-2022,3,2,5,20-10-2022,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68,Invalid
11,3438,Dheepa Nguyen,10-08-2018,04-11-2019,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Sales,General - Con,06-04-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,28-10-2022,4,2,5,05-10-2022,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17,Valid
12,3439,Bartholemew Khemmich,25-05-2022,27-11-2022,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,30-10-2022,1,2,5,09-03-2023,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07,Valid
13,3440,Xana Potts,05-12-2019,17-02-2023,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Sales,Finance & Accounting,06-11-1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,24-09-2022,1,4,5,29-05-2023,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03,Valid
14,3441,Prater Jeremy,28-04-2019,22-05-2022,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,30-10-2022,4,2,5,08-01-2023,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2,Valid
15,3442,Kaylah Moon,09-07-2019,16-06-2022,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,It/Is,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2,31-10-2022,2,5,3,06-03-2023,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87,Valid
16,3443,Kristen Tate,05-04-2021,12-05-2023,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,It/Is,Project Management - Con,08-04-1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,29-04-2023,2,2,4,18-02-2023,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13,Valid
17,3444,Bobby Rodgers,28-11-2021,04-02-2022,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,14-12-2022,1,2,4,02-11-2022,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84,Valid
18,3445,Reid Park,16-01-2021,22-05-2022,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,Sales,Project Management - Con,07-12-1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,07-05-2023,4,5,2,14-07-2023,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64,Valid
19,3446,Hector Dalton,24-08-2021,22-05-2022,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,Sales,Field Operations,01-05-1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2,21-05-2023,4,3,5,11-12-2022,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13,Valid
20,3447,Mariela Schultz,26-05-2020,18-06-2023,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Sales,General - Con,17-02-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,08-05-2023,5,1,4,02-04-2023,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21,Valid
21,3448,Angela Molina,01-10-2019,06-11-2020,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,Sales,Engineers,12-05-1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,28-03-2023,5,1,5,16-05-2023,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05,Valid
22,3449,Gerald Preston,10-05-2023,27-05-2023,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Sales,General - Eng,18-09-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5,30-06-2023,3,2,1,02-10-2022,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21,Valid
23,3450,Reilly Moyer,01-09-2020,04-12-2022,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Sales,Field Operations,11-08-1994,CO,Operator,Male,11765,Other,Single,Exceeds,2,18-01-2023,4,3,5,12-01-2023,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07,Valid
24,3451,Carlee French,18-02-2021,11-11-2022,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Sales,General - Con,15-01-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,29-04-2023,5,1,2,22-03-2023,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97,Valid
25,3452,Jaydon Blackburn,08-11-2022,22-05-2022,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,Sales,General - Con,07-01-1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,19-01-2023,5,5,2,13-09-2022,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04,Invalid
26,3453,Bridger Carter,13-10-2022,22-05-2022,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,Sales,Fielders,07-04-1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,17-09-2022,5,5,3,25-08-2022,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44,Invalid
27,3454,Leon Beard,11-09-2022,22-05-2022,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,It/Is,General - Con,29-01-1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,14-03-2023,4,4,2,07-02-2023,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9,Invalid
28,3455,Charity Miranda,29-06-2021,05-07-2022,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,12-08-2022,2,1,1,17-03-2023,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41,Valid
29,3456,Axel Howe,06-03-2023,22-05-2022,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,30-03-2023,4,3,4,08-06-2023,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82,Invalid
30,3457,Milton Wall,25-09-2020,22-05-2022,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,Sales,Engineers,23-08-1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,21-04-2023,5,1,4,15-04-2023,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73,Valid
31,3458,Cory Robinson,28-04-2022,24-05-2023,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Sales,Field Operations,12-08-1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,14-02-2023,2,5,5,02-12-2022,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27,Valid
32,3459,Saniya Yu,18-04-2021,21-06-2022,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Sales,General - Con,09-02-1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,26-10-2022,4,4,3,14-06-2023,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32,Valid
33,3460,Alisa James,19-02-2020,22-05-2022,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,Sales,Aerial,10-02-1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,16-11-2022,4,3,3,08-07-2023,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52,Valid
34,3461,Lincoln Compton,18-07-2019,01-10-2021,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,24-04-2023,1,4,4,05-01-2023,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,Valid
35,3462,Aliana Nolan,13-09-2018,17-09-2021,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Sales,Field Operations,09-08-1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,08-11-2022,3,3,1,19-07-2023,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,Valid
36,3463,Kayden Dodson,30-04-2020,18-07-2021,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,18-09-2022,4,3,4,29-08-2022,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,Valid
37,3464,James Duke,03-12-2018,09-09-2022,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,29-12-2022,2,5,3,13-11-2022,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,Valid
38,3465,Willow Stuart,08-11-2021,22-05-2022,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,Sales,General - Con,07-01-1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,19-05-2023,5,4,3,04-06-2023,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,Valid
39,3466,Clayton Walker,13-04-2022,10-04-2023,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,It/Is,Aerial,26-01-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,04-08-2023,1,3,4,07-12-2022,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,Valid
40,3467,Celia Curtis,06-05-2020,22-05-2022,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,27-06-2023,4,3,2,24-02-2023,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,Valid
41,3468,Valentin Reilly,09-09-2019,22-05-2022,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,05-02-2023,3,1,3,10-05-2023,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,Valid
42,3469,Ryland Shepherd,29-07-2020,05-01-2023,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,21-02-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,01-08-2023,5,5,1,15-08-2022,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,Valid
43,3470,Esteban Gilbert,14-11-2018,28-10-2019,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,06-05-2023,1,2,3,26-09-2022,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96,Valid
44,3471,Jonathan Adkins,29-02-2020,22-05-2022,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,Sales,Field Operations,03-01-1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,30-04-2023,2,4,1,23-03-2023,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,Valid
45,3472,Nevaeh Soto,15-01-2023,22-05-2022,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,Sales,Project Management - Con,12-01-1982,TX,Director,Male,74124,Other,Married,Exceeds,4,26-07-2023,5,5,4,12-02-2023,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,Invalid
46,3473,Chaim Mata,29-06-2023,22-05-2022,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,Sales,Shop (Fleet),01-10-1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,28-06-2023,3,4,4,06-12-2022,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,Invalid
47,3474,Arely Patton,09-03-2020,22-05-2022,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,09-05-2023,3,1,2,01-09-2022,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,Valid
48,3475,Vance Trujillo,21-09-2021,13-04-2023,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Sales,General - Con,25-12-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,25-01-2023,4,3,4,02-11-2022,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,Valid
49,3476,Charlie Koch,12-06-2023,06-07-2023,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,03-03-2023,5,5,3,18-11-2022,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,Valid
50,3477,Sonny Horne,07-04-2019,22-05-2022,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,It/Is,Aerial,03-12-1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,05-12-2022,1,2,1,07-11-2022,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48,Valid
51,3478,Thomas Chandler,17-09-2018,09-01-2019,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,10-10-1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,29-11-2022,3,4,1,05-10-2022,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74,Valid
52,3479,Sarai Stone,02-08-2022,02-04-2023,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,03-11-2022,4,4,4,18-01-2023,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45,Valid
53,3480,Jerimiah Harmon,08-09-2022,16-10-2022,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Catv,09-08-1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,25-07-2023,1,5,3,02-03-2023,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15,Valid
54,3481,Leland Allen,07-03-2019,31-05-2021,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Sales,Wireline Construction,11-12-1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,02-03-2023,5,2,4,29-05-2023,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95,Valid
55,3482,Cristal Bolton,29-10-2019,07-02-2021,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Sales,Catv,11-02-1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,22-10-2022,4,5,5,03-03-2023,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11,Valid
56,3483,Jaslene Harding,26-09-2021,22-05-2022,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,23-10-2022,1,4,5,10-08-2022,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96,Valid
57,3484,Albert Gonzalez,29-08-2018,22-05-2022,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,Sales,General - Con,18-07-1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,16-09-2022,1,2,4,27-06-2023,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7,Valid
58,3485,Jaiden Johnson,26-10-2021,22-05-2022,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,Sales,Field Operations,22-08-1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,07-05-2023,2,1,3,07-08-2022,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45,Valid
59,3486,Brendon Mcconnell,31-10-2022,08-06-2023,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Fielders,14-11-1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,27-08-2022,3,1,1,23-07-2023,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59,Valid
60,3487,Kimora Parsons,15-03-2023,22-05-2022,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,Sales,General - Sga,01-02-1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,23-09-2022,5,4,1,17-07-2023,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97,Invalid
61,3488,Willie Patterson,09-09-2022,22-05-2022,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,Sales,Wireline Construction,12-11-1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,11-03-2023,1,5,1,20-09-2022,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19,Invalid
62,3489,Devyn Powers,04-03-2022,22-05-2022,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,Sales,Field Operations,02-05-1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,03-12-2022,2,4,5,02-07-2023,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41,Valid
63,3490,Weston Preston,11-02-2019,22-05-2022,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,Sales,General - Sga,10-07-1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,12-10-2022,5,3,2,19-07-2023,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59,Valid
64,3491,Lennon Buchanan,26-01-2021,22-05-2022,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,Sales,Field Operations,02-06-1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,10-09-2022,3,4,5,14-07-2023,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56,Valid
65,3492,Vicente Merritt,26-11-2019,22-05-2022,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,Sales,General - Con,08-01-1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,13-01-2023,1,5,5,06-09-2022,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66,Valid
66,3493,Hugo Clay,15-07-2019,22-05-2022,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,Sales,Project Management - Con,17-04-1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,02-04-2023,3,1,5,19-02-2023,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95,Valid
67,3494,Cohen Raymond,18-06-2020,22-05-2022,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,Sales,General - Con,08-02-1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4,15-12-2022,1,2,1,11-02-2023,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45,Valid
68,3495,Tia Ellis,22-06-2023,22-07-2023,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Sales,Wireline Construction,27-01-1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,08-09-2022,4,3,5,21-12-2022,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55,Valid
